row_id,order_id,order_date,ship_date,delivery_duration,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,discount_value,profit,cogs,returned,shipping_cost_per_unit,is_returned,estimated_shipping_cost,shipping_cost_ratio,is_delayed,customer_order_count,customer_avg_sales,order_month,profit_margin,is_loss_order
1,CA-2016-152156,2016-11-08,2016-11-11,3,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,0.0,41.9136,-220.0464,,8,0,16,0.0610780271797221,0,3,229.75600000000003,11,0.16000000000000003,0
2,CA-2016-152156,2016-11-08,2016-11-11,3,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,0.0,219.582,-512.358,,8,0,24,0.03278957291581277,0,3,229.75600000000003,11,0.3,0
3,CA-2016-138688,2016-06-12,2016-06-16,4,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,0.0,6.8714,-7.7486,,7,0,14,0.957592339261286,0,5,124.387,6,0.47000000000000003,0
4,US-2015-108966,2015-10-11,2015-10-18,7,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-430.909875,-383.031,-909.698625,,6,0,30,0.031329056917064155,1,6,173.50503333333333,10,-0.4,1
5,US-2015-108966,2015-10-11,2015-10-18,7,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,-4.4736,2.5164,-15.378,,6,0,12,0.536480686695279,1,6,173.50503333333333,10,0.1125,0
6,CA-2014-115812,2014-06-09,2014-06-14,5,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,0.0,14.1694,-34.6906,,7,0,49,1.002865329512894,0,8,260.63962499999997,6,0.29,0
7,CA-2014-115812,2014-06-09,2014-06-14,5,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,0.0,1.9656,-5.3144,,7,0,28,3.846153846153846,0,8,260.63962499999997,6,0.27,0
8,CA-2014-115812,2014-06-09,2014-06-14,5,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,-181.4304,90.7152,-635.0064,,7,0,42,0.046298745965394995,0,8,260.63962499999997,6,0.09999999999999999,0
9,CA-2014-115812,2014-06-09,2014-06-14,5,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,-3.7008,5.7825,-9.0207,,7,0,21,1.1348897535667963,0,8,260.63962499999997,6,0.31249999999999994,0
10,CA-2014-115812,2014-06-09,2014-06-14,5,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,0.0,34.47,-80.43,,7,0,35,0.30461270670147955,0,8,260.63962499999997,6,0.3,0
