row_id,order_id,customer_id,customer_name,product_id,product_name,category,sub_category,state,segment,ship_mode,sales,quantity,delivery_duration,estimated_shipping_cost,is_delayed,is_returned,return_risk_score,risk_level,recommended_action
3374,CA-2015-161718,SO-20335,Sean O'Donnell,FUR-FU-10002445,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Furniture,Furnishings,New York,Consumer,Standard Class,28.44,3,6,6,1,0,0.6147693251435341,High,Review before fulfilment
2776,CA-2016-144729,JE-15745,Joel Eaton,OFF-ST-10004804,"Belkin 19"" Vented Equipment Shelf, Black",Office Supplies,Storage,California,Consumer,Standard Class,154.44,3,4,21,0,0,0.008583475609673557,Low,Standard processing
9299,US-2015-163433,MP-17965,Michael Paige,OFF-AR-10003373,"Boston School Pro Electric Pencil Sharpener, 1670",Office Supplies,Art,Texas,Corporate,Second Class,74.352,3,4,30,0,0,0.007302434641614641,Low,Standard processing
6949,CA-2015-130365,ZC-21910,Zuschuss Carroll,FUR-CH-10003535,"Global Armless Task Chair, Royal Blue",Furniture,Chairs,Illinois,Consumer,Standard Class,128.058,3,4,12,0,0,0.4483422476108801,Medium,Monitor order
5612,CA-2017-121027,HW-14935,Helen Wasserman,TEC-AC-10002049,Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories,Washington,Corporate,Standard Class,843.9,2,4,10,0,0,0.21962138210806567,Low,Standard processing
4869,CA-2017-122490,TT-21070,Ted Trevino,OFF-LA-10001613,Avery File Folder Labels,Office Supplies,Labels,Washington,Consumer,Standard Class,8.64,3,5,15,0,0,0.013390774148836788,Low,Standard processing
7786,US-2014-111353,PB-19150,Philip Brown,OFF-LA-10002762,Avery 485,Office Supplies,Labels,New York,Consumer,Standard Class,25.06,2,7,4,1,0,0.007628024778206274,Low,Standard processing
2573,CA-2016-155845,CM-12235,Chris McAfee,TEC-AC-10004145,Logitech diNovo Edge Keyboard,Technology,Accessories,Texas,Consumer,Second Class,1399.944,7,3,70,0,0,0.01229016353865694,Low,Standard processing
5838,CA-2017-133207,DO-13645,Doug O'Connell,TEC-PH-10004100,Griffin GC17055 Auxiliary Audio Cable,Technology,Phones,California,Consumer,Standard Class,57.568,4,6,28,1,0,0.0104572659814883,Low,Standard processing
642,CA-2017-167913,JL-15835,John Lee,OFF-ST-10000585,Economy Rollaway Files,Office Supplies,Storage,California,Consumer,Second Class,330.4,2,4,14,0,0,0.7432777133971576,High,Review before fulfilment
4494,CA-2014-150798,JK-15730,Joe Kamberova,OFF-PA-10001972,Xerox 214,Office Supplies,Paper,Ohio,Consumer,Second Class,36.288,7,2,49,0,0,0.7938044622006662,High,Review before fulfilment
4278,US-2016-107440,BS-11365,Bill Shonely,TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,New Jersey,Corporate,Standard Class,9099.93,7,4,21,0,0,0.13685386312684814,Low,Standard processing
